utc_time,poa_global,poa_direct,poa_diffuse,poa_global_sfv,poa_direct_sfv,poa_diffuse_sfv,ghi,dni,dhi,production (Wh),production_sfv (Wh)
4:00,0,0,0,0,0,0,0,0,0,-0.075,-0.075
5:00,18,0,18,7.497,0,7.497,18,0,18,-0.075,-0.075
6:00,175.3626708,101.3626708,74,132.1836708,101.3626708,30.821,190,480.12,74,27.39879675,17.85138388
7:00,362.3262203,254.3262203,108,299.3082203,254.3262203,44.982,382,647.83,108,68.4486292,55.00432909
8:00,549.6521869,413.6521869,136,470.2961869,413.6521869,56.644,570,731.91,136,108.0146105,92.17338116
9:00,721.5649055,569.5649055,152,632.8729055,569.5649055,63.308,740,794.52,152,140.0398553,123.5360481
10:00,865.6059935,710.6059935,155,775.1634935,710.6059935,64.5575,880,848.71,155,164.2117587,148.4261101
11:00,964.5678244,814.5678244,150,877.0428244,814.5678244,62.475,973,887.16,150,178.6006627,164.0646862
12:00,999.8007592,839.8007592,160,906.4407592,839.8007592,66.64,1001,880.26,160,181.9896952,166.8628995
13:00,1003.482193,882.4821928,121,932.8786928,882.4821928,50.3965,997,936.4,121,181.4664259,170.2342546
14:00,914.8302167,767.8302167,147,829.0557167,767.8302167,61.2255,902,868.47,147,166.7513583,152.7337084
15:00,794.2998541,661.2998541,133,716.6943541,661.2998541,55.3945,776,844.45,133,147.6677145,134.2699309
16:00,625.9189296,497.9189296,128,551.2309296,497.9189296,53.312,605,770.41,128,118.2841408,104.4334429
17:00,433.5718815,321.5718815,112,368.2198815,321.5718815,46.648,413,665.71,112,81.07533704,68.03025455
18:00,237.9947585,157.9947585,80,191.3147585,157.9947585,33.32,221,518.7,80,40.00013711,30.09585272
19:00,57.71504795,28.71504795,29,40.79354795,28.71504795,12.0785,50,232.07,29,5.311539989,1.983896443
20:00,0,0,0,0,0,0,0,0,0,-0.075,-0.075
